Article number;Old article number ;Product name;MA-holder;Active substance;Pharmaceutical form;Strength;Package type;Multiple;Packages ;Packsize;Unit; PPP ; PRP ; Stepped price ; Reimbursed price ;Prescription group;Storage;Substitution group;Limited substitution;MA-number;ATC-code;Reimbursed;Date PPP;Marketing status package;MA-status
000448;;Elocon;Merck Sharp & Dohme B.V.;Mometasonfuroat;Liniment, oppløsning;0,1 % w/v;Flaske;;;100;ml; 117.61 ; 186.20 ; -   ; 186.20 ;C;Rom (15-25 grader);002034;Nei;0000-07621;D07AC13;Ja;01.08.2012;Markedsført;Markedsført
000493;;Act-Hib;Sanofi Pasteur Europe;Haemophilus influensae type b polysakkarid konjugert med tetanustoksoid;Pulver og væske til injeksjonsvæske, oppløsning;10 mikrog;sett;;;;; 103.09 ; 168.30 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;0000-07985;J07AG01;Nei;18.09.2001;Markedsført;Kan prisbehandles
000494;;Selo-Zok;AstraZeneca;Metoprololsuksinat;Depottablett;25 mg;Kalenderpakning;;;14;stk; 15.52 ; 56.00 ; 50.00 ; 50.00 ;C;Rom (15-25 grader);001322;Nei;1999-06713;C07AB02;Ja;01.08.2018;Markedsført;Midlertidig utgått
000503;;Selo-Zok;AstraZeneca;Metoprololsuksinat;Depottablett;25 mg;Kalenderpakning;;;28;stk; 31.03 ; 75.80 ; 59.50 ; 59.50 ;C;Rom (15-25 grader);001322;Nei;1999-06713;C07AB02;Ja;01.08.2018;Markedsført;Markedsført
000517;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat til mikstur, suspensjon;100 mg/ml;Flaske av glass;;;125;ml; 140.20 ; 215.00 ; -   ; 215.00 ;C;Rom (15-25 grader);000800;Nei;0000-08005;J01CA04;Ja;01.07.2014;Markedsført;Markedsført
000531;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat til mikstur, suspensjon;100 mg/ml;Flaske av glass;;;60;ml; 67.30 ; 122.10 ; -   ; 122.10 ;C;Rom (15-25 grader);000800;Nei;0000-08005;J01CA04;Ja;01.07.2014;Markedsført;Markedsført
000552;;Caverject Dual;Pfizer AS;Alprostadil;Pulver og væske til injeksjonsvæske, oppløsning;20 mikrog/0,5 ml;Ferdigfylt sprøyte;;2;0.5;ml; 205.58 ; 298.40 ; -   ; -   ;C;Rom (15-25 grader);001831;Nei;2001-00455;G04BE01;Nei;01.11.2018;Markedsført;Markedsført
000555;;Topimax;Janssen-Cilag AS;Topiramat;Kapsel, hard;15 mg;Boks av plast;;;60;stk; 86.00 ; 145.90 ; -   ; 145.90 ;C;Rom (15-25 grader);;<ikke angitt>;1998-03715;N03AX11;Ja;01.04.2012;Markedsført;Markedsført
000575;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat i dosepose;125 mg;Dosepose;;20;1;dose; 76.70 ; 134.00 ; -   ; 134.00 ;C;Rom (15-25 grader);;<ikke angitt>;0000-06187;J01CA04;Ja;01.07.2014;Midlertidig utgått;Midlertidig utgått
000598;;Topimax;Janssen-Cilag AS;Topiramat;Kapsel, hard;25 mg;Boks av plast;;;60;stk; 86.00 ; 145.90 ; -   ; 145.90 ;C;Rom (15-25 grader);001259;Ja;1998-03716;N03AX11;Ja;01.04.2012;Markedsført;Markedsført
000601;;Ibux;Weifa AS;Ibuprofen;Tablett, filmdrasjert;200 mg;Blisterpakning, endose;;50;1;stk; 15.43 ; 55.90 ; -   ; 55.90 ;C;Rom (15-25 grader);000492;Nei;0000-07067;M01AE01;Ja;01.11.2018;Markedsført;Midlertidig utgått
000626;;Isofluran Baxter;Baxter AS;Isofluran;Væske til inhalasjonsdamp;;Beholder av mørkt glass;;;100;ml; 460.99 ; 624.00 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1994-02743;N01AB06;Nei;01.05.2015;Markedsført;Midlertidig utgått
000641;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;10;100;ml; 585.00 ; 782.10 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Markedsført
000652;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;10;250;ml; 1,106.50 ; 1,447.00 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Kan prisbehandles
000663;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;12;500;ml; 1,981.80 ; 2,563.00 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Markedsført
000784;;Caverject Dual;Pfizer AS;Alprostadil;Pulver og væske til injeksjonsvæske, oppløsning;10 mikrog/0,5 ml;Ferdigfylt sprøyte;;2;0.5;ml; 148.49 ; 225.60 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;2001-00454;G04BE01;Nei;01.11.2018;Markedsført;Markedsført
000879;;Rebif;Merck Europe B.V.;Interferon beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;44 mikrog/0,5 ml;Ferdigfylt sprøyte;;12;0.5;ml; 6,922.40 ; 8,905.60 ; -   ; -   ;C;Kaldt (2-8 grader);000453;Nei;EU/1/98/063/006;L03AB07;Ja;01.12.2017;Markedsført;Markedsført
000890;;Isofluran Baxter;Baxter AS;Isofluran;Væske til inhalasjonsdamp;;Beholder av mørkt glass;;;250;ml; 1,152.48 ; 1,505.70 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1994-02743;N01AB06;Nei;01.05.2015;Markedsført;Markedsført
000961;;Genotropin;Pfizer Norge AS;Somatropin;Pulver og væske til injeksjonsvæske, oppløsning;5 mg;Tokammerampulle til penn;;5;5;mg; 5,952.41 ; 7,662.80 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;12-8979;H01AC01;Ja;01.08.2017;Markedsført;Markedsført
000985;;Atacand Plus;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;16 mg/12,5 mg;Kalenderpakning;;;98;stk; 388.28 ; 531.30 ; 115.20 ; 115.20 ;C;Rom (15-25 grader);001460;Nei;1999-02649;C09DA06;Ja;01.08.2018;Markedsført;Markedsført
001004;;Fragmin;Pfizer AS;Dalteparinnatrium;Injeksjonsvæske, oppløsning;12 500 IE anti-Xa/ml;Ferdigfylt sprøyte;;25;0.2;ml; 452.64 ; 613.40 ; -   ; 613.40 ;C;Rom (15-25 grader);;<ikke angitt>;0000-07373;B01AB04;Ja;01.06.2018;Markedsført;Markedsført
001009;;Burinex;LEO Pharma;Bumetanid;Injeksjonsvæske, oppløsning;0,5 mg/ml;Ampulle;;5;4;ml; 45.25 ; 93.90 ; -   ; 93.90 ;C;Rom (15-25 grader);;<ikke angitt>;0000-07221;C03CA02;Ja;01.08.2018;Markedsført;Markedsført
001018;;PegIntron;Merck Sharp & Dohme B.V. (1);Peginterferon alfa-2b;Pulver og væske til injeksjonsvæske, oppløsning;50 mikrog;sett;;;;; 3,134.02 ; 4,051.70 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/131/004;L03AB10;Ja;15.11.2018;Markedsført;Markedsført
001026;;Triatec;Sanofi-aventis Norge (3);Ramipril;Tablett;2,5 mg;Blisterpakning, endose;;;98;stk; 58.14 ; 110.40 ; 110.40 ; 110.40 ;C;Rom (15-25 grader);000222;Nei;0000-08066;C09AA05;Ja;15.05.2014;Markedsført;Kan prisbehandles
001029;;Fragmin;Pfizer AS;Dalteparinnatrium;Injeksjonsvæske, oppløsning;25 000 IE anti-Xa/ml;Ferdigfylt sprøyte;;25;0.2;ml; 722.29 ; 957.20 ; -   ; 957.20 ;C;Rom (15-25 grader);;<ikke angitt>;0000-07374;B01AB04;Ja;01.06.2018;Markedsført;Markedsført
001078;;Puregon;Merck Sharp & Dohme B.V. (1);Follitropin beta;Injeksjonsvæske, oppløsning;300 IE/0,36ml;Sylinderampulle til bruk i penn;;1;0.36;ml; 779.70 ; 1,035.20 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/96/008/038;G03GA06;Nei;01.11.2014;Markedsført;Markedsført
001092;;Puregon;Merck Sharp & Dohme B.V. (1);Follitropin beta;Injeksjonsvæske, oppløsning;600 IE/0,72ml;Sylinderampulle til bruk i penn;;1;0.72;ml; 1,523.00 ; 1,987.60 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/96/008/039;G03GA06;Nei;01.11.2014;Markedsført;Markedsført
001153;;Proscar;Farmagon;Finasterid;Tablett, filmdrasjert;5 mg;Blisterpakning;;;28;stk; 73.88 ; 130.40 ; 130.40 ; 130.40 ;C;Rom (15-25 grader);000333;Nei;1999-07844, 05-3405;G04CB01;Ja;01.11.2013;Markedsført;Markedsført
001162;;Zyprexa;Farmagon;Olanzapin;Tablett, drasjert;7,5 mg;Blisterpakning;;;56;stk; 461.87 ; 625.10 ; 246.80 ; 246.80 ;C;Rom (15-25 grader);000600;Nei;1999-07843;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
001194;;Celebra;Pfizer AS;Celekoksib;Kapsel, hard;200 mg;Blisterpakning;;;10;stk; 63.04 ; 116.60 ; -   ; 116.60 ;C;Rom (15-25 grader);001583;Nei;02-1062;M01AH01;Ja;01.05.2014;Markedsført;Markedsført
001205;;Celebra;Pfizer AS;Celekoksib;Kapsel, hard;200 mg;Blisterpakning;;;30;stk; 189.13 ; 277.40 ; -   ; 277.40 ;C;Rom (15-25 grader);001583;Nei;02-1062;M01AH01;Ja;01.05.2014;Markedsført;Markedsført
001336;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;20;stk; 18.60 ; 60.00 ; 60.00 ; 60.00 ;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001341;;Proscar;Farmagon;Finasterid;Tablett, filmdrasjert;5 mg;Blisterpakning;;;98;stk; 258.56 ; 365.90 ; 365.90 ; 365.90 ;C;Rom (15-25 grader);000333;Nei;05-3405, 1999-07844;G04CB01;Ja;01.11.2013;Markedsført;Markedsført
001349;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;30;stk; 27.90 ; 71.80 ; 71.80 ; 71.80 ;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001358;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;50;stk; 28.00 ; 72.00 ; 72.00 ; 72.00 ;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001371;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;60;stk; 33.59 ; 79.10 ; 79.10 ; 79.10 ;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001380;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;90;stk; 50.39 ; 100.50 ; 100.50 ; 100.50 ;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001402;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;300 mg;Blisterpakning;;;30;stk; 27.90 ; 71.80 ; 71.80 ; 71.80 ;C;Rom (15-25 grader);000014;Nei;1998-06669;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001413;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;300 mg;Blisterpakning;;;90;stk; 83.69 ; 143.00 ; 143.00 ; 143.00 ;C;Rom (15-25 grader);000014;Nei;1998-06669;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001512;;Trental;Sanofi-aventis Norge (3);Pentoksyfyllin;Depottablett;400 mg;Blisterpakning;;;100;stk; 145.38 ; 221.60 ; -   ; 221.60 ;C;Rom (15-25 grader);000153;Nei;0000-07199;C04AD03;Ja;15.12.2017;Markedsført;Markedsført
001524;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;4 000 IE;Ferdigfylt sprøyte;;1;0.3;ml; 275.75 ; 389.60 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/041;B03XA01;Nei;01.08.2010;Har MT;Kan prisbehandles
001588;;Kabiven;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Alanin, Arginin, Aspartinsyre, Fenylalanin, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Kalsiumkloriddihydrat, Natriumglyserofosfat, Magnesiumsulfatheptahydrat, Kaliumklorid, Valin, Natriumacetattrihydrat, Glukosemonohydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1026;ml; 1,019.43 ; 1,336.00 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1999-01181;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
001599;;Venofer;Vifor France;Jern(III)hydroksid/sukrosekompleks;Injeksjonsvæske, oppløsning/konsentrat til infusjonsvæske;20 mg/ml;Ampulle;;5;5;ml; 477.94 ; 645.60 ; -   ; -   ;C;Rom (15-25 grader);001723;Nei;1999-04553;B03AC;Nei;01.06.2018;Markedsført;Markedsført
001605;;Kabiven;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Alanin, Arginin, Aspartinsyre, Fenylalanin, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Kalsiumkloriddihydrat, Natriumglyserofosfat, Magnesiumsulfatheptahydrat, Kaliumklorid, Valin, Natriumacetattrihydrat, Glukosemonohydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1540;ml; 1,389.70 ; 1,808.10 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1999-01181;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
001829;;Dotarem;Guerbet;Gadotersyre;Injeksjonsvæske, oppløsning;279,3 mg/ml;Hetteglass;;;60;ml; 2,013.74 ; 2,603.80 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1995-02155;V08CA02;Nei;01.12.2018;Markedsført;Markedsført
001855;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;5 mg;Boks;;;100;stk; 62.95 ; 116.50 ; 115.50 ; 115.50 ;C;Rom (15-25 grader);000216;Nei;0000-07635;C09AA03;Ja;18.05.2011;Midlertidig utgått;Midlertidig utgått
001878;;Azopt;Novartis Europharm Limited (1);Brinzolamid;Øyedråper, suspensjon;10 mg/ml;Flaske av plast med dråpespiss;;3;5;ml; 229.80 ; 329.20 ; -   ; 329.20 ;C;Rom (15-25 grader);000917;Nei;EU/1/00/129/003;S01EC04;Ja;01.12.2009;Markedsført;Markedsført
001888;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;10 mg;Blisterpakning;;;98;stk; 61.69 ; 114.90 ; 114.90 ; 114.90 ;C;Rom (15-25 grader);000217;Nei;0000-07636;C09AA03;Ja;15.06.2011;Markedsført;Markedsført
001894;;Trizivir;ViiV Healthcare BV;Abakavir, Lamivudin, Zidovudin;Tablett, filmdrasjert;300 mg/150 mg/300 mg;Boks;;;60;stk; 4,939.31 ; 6,333.90 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;EU/1/00/156/003;J05AR04;Nei;01.01.2016;Midlertidig utgått;Midlertidig utgått
001905;;Lamictal;GlaxoSmithKline AS;Lamotrigin;Dispergerbar tablett;2 mg;Blisterpakning;;;30;stk; 13.57 ; 53.60 ; -   ; 53.60 ;C;Rom (15-25 grader);001106;Ja;2000-02581;N03AX09;Ja;01.02.2019;Markedsført;Markedsført
001921;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;20 mg;Blisterpakning;;;98;stk; 123.38 ; 193.60 ; 193.60 ; 193.60 ;C;Rom (15-25 grader);000218;Nei;0000-07637;C09AA03;Ja;15.06.2011;Markedsført;Markedsført
001962;;Capsina;Bioglan AB;Capsaicin;Krem;0,075 %;Tube;;;45;g; 189.40 ; 277.70 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1995-03589;N01BX04;Nei;09.06.2004;Markedsført;Markedsført
001980;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning;;;28;stk; 62.66 ; 116.10 ; 59.10 ; 59.10 ;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
001991;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning;;;56;stk; 125.33 ; 196.00 ; 79.70 ; 79.70 ;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002027;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Kalenderpakning;;;98;stk; 388.28 ; 531.30 ; 115.20 ; 115.20 ;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Markedsført
002033;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;40 mg;Blisterpakning;;;28;stk; 99.35 ; 162.90 ; 68.80 ; 68.80 ;C;Rom (15-25 grader);000032;Nei;2000-01995;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002038;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Blisterpakning, endose;;;98;stk; 388.28 ; 531.30 ; 115.20 ; 115.20 ;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Kan prisbehandles
002046;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Boks av plast;;;100;stk; 396.20 ; 541.40 ; 116.90 ; 116.90 ;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Kan prisbehandles
002071;;Asacol;Tillotts Pharma AB (2);Mesalazin;Enterotablett;400 mg;Blisterpakning;;10;10;stk; 280.46 ; 393.80 ; -   ; 393.80 ;C;Rom (15-25 grader);001318;Nei;0000-07603;A07EC02;Ja;01.04.2018;Markedsført;Markedsført
002180;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning, endose;;50;1;stk; 111.90 ; 178.90 ; 75.10 ; 75.10 ;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002182;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;500 IE;Hetteglass;;;;; 2,784.94 ; 3,604.50 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/002;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002193;;Zidoval;Meda - Asker;Metronidazol;Vaginalgel;7,5 mg/g;Tube;;;40;g; 85.00 ; 144.60 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;00-1709;G01AF01;Nei;22.06.2001;Markedsført;Markedsført
002194;;Kabiven Perifer;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Glukosemonohydrat, Alanin, Arginin, Aspartinsyre, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Fenylalanin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Valin, Kalsiumklorid, Natriumglyserofosfat, Kaliumklorid, Natriumacetattrihydrat, Magnesiumsulfatheptahydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1440;ml; 1,219.97 ; 1,591.70 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;2000-02053;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
002205;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;40 mg;Blisterpakning, endose;;50;1;stk; 177.42 ; 262.50 ; 94.30 ; 94.30 ;C;Rom (15-25 grader);000032;Nei;2000-01995;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002210;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;1000 IE;Hetteglass;;;;; 5,535.22 ; 7,128.30 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/003;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002227;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;250 IE;Hetteglass;;;;; 1,408.58 ; 1,841.00 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/001;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002294;;Singulair;Merck Sharp & Dohme B.V.;Montelukastnatrium;Tyggetablett;4 mg;Kalenderpakning;;;28;stk; 104.48 ; 169.50 ; 94.40 ; 94.40 ;C;Rom (15-25 grader);001750;Nei;2000-06225;R03DC03;Ja;01.07.2018;Markedsført;Markedsført
002328;;Singulair;Merck Sharp & Dohme B.V.;Montelukastnatrium;Tyggetablett;4 mg;Kalenderpakning;;;98;stk; 365.68 ; 502.50 ; 239.70 ; 239.70 ;C;Rom (15-25 grader);001750;Nei;2000-06225;R03DC03;Ja;01.07.2018;Markedsført;Markedsført
002367;;Helixate NexGen;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;250 IE;Hetteglass;;;;; 1,328.88 ; 1,738.90 ; -   ; -   ;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/144/001;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002422;;Tetralysal;Galderma Nordic AB;Lymesyklin;Kapsel, hard;300 mg;Blisterpakning;;;20;stk; 56.65 ; 108.50 ; 86.40 ; 86.40 ;C;Rom (15-25 grader);001882;Nei;0000-05494;J01AA04;Ja;01.10.2009;Markedsført;Midlertidig utgått
002481;;Levaxin;Takeda AS;Levotyroksinnatrium;Tablett;25 mikrog;Boks av plast;;;100;stk; 34.40 ; 80.10 ; -   ; 80.10 ;C;Rom (15-25 grader);000865;Ja;1999-06020;H03AA01;Ja;01.12.2018;Markedsført;Markedsført
002490;;Septocaine;Septodont;Artikainhydroklorid, Adrenalintartrat;Injeksjonsvæske, oppløsning;40 mg/ml/5 mikrog/ml;Sylindretter av glass;;50;1.7;ml; 240.00 ; 342.30 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1997-05253;N01BB58;Nei;23.01.2017;Markedsført;Markedsført
002518;;Septocaine Forte;Septodont;Artikainhydroklorid, Adrenalintartrat;Injeksjonsvæske, oppløsning;40 mg/ml/10 mikrog/ml;Sylindretter av glass;;50;1.7;ml; 240.00 ; 342.30 ; -   ; -   ;C;Rom (15-25 grader);;<ikke angitt>;1997-05254;N01BB58;Nei;23.01.2017;Markedsført;Markedsført
002559;;Detrusitol SR;Pfizer AS;Tolterodintartrat;Depotkapsel, hard;4 mg;Blisterpakning;;;28;stk; 161.36 ; 242.00 ; -   ; 242.00 ;C;Rom (15-25 grader);001899;Nei;2001-03747;G04BD07;Ja;01.08.2015;Markedsført;Midlertidig utgått
