Article number;Old article number ;Product name;MA-holder;Active substance;Pharmaceutical form;Strength;Package type;Multiple;Packages ;Packsize;Unit; PPP ; PRP ; Stepped price ; Reimbursed price ;Prescription group;Storage;Substitution group;Limited substitution;MA-number;ATC-code;Reimbursed;Date PPP;Marketing status package;MA-status
000626;;Isofluran Baxter;Baxter AS;Isofluran;Væske til inhalasjonsdamp;;Beholder av mørkt glass;;;100;ml;460.99;624;0;0;C;Rom (15-25 grader);;<ikke angitt>;1994-02743;N01AB06;Nei;01.05.2015;Markedsført;Midlertidig utgått
000641;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;10;100;ml;585;782.1;0;0;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Markedsført
000652;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;10;250;ml;1106.5;1447;0;0;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Kan prisbehandles
000663;;Intralipid;Fresenius Kabi Norge AS - Halden;Soyaolje;Infusjonsvæske, emulsjon;200 mg/ml;Plastpose (Biofine);;12;500;ml;1981.8;2563;0;0;C;Rom (15-25 grader);;<ikke angitt>;0000-04657;B05BA02;Nei;20.08.2015;Markedsført;Markedsført
000784;;Caverject Dual;Pfizer AS;Alprostadil;Pulver og væske til injeksjonsvæske, oppløsning;10 mikrog/0,5 ml;Ferdigfylt sprøyte;;2;0.5;ml;148.49;225.6;0;0;C;Rom (15-25 grader);;<ikke angitt>;2001-00454;G04BE01;Nei;01.11.2018;Markedsført;Markedsført
000879;;Rebif;Merck Europe B.V.;Interferon beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;44 mikrog/0,5 ml;Ferdigfylt sprøyte;;12;0.5;ml;6922.4;8905.6;0;0;C;Kaldt (2-8 grader);000453;Nei;EU/1/98/063/006;L03AB07;Ja;01.12.2017;Markedsført;Markedsført
000890;;Isofluran Baxter;Baxter AS;Isofluran;Væske til inhalasjonsdamp;;Beholder av mørkt glass;;;250;ml;1152.48;1505.7;0;0;C;Rom (15-25 grader);;<ikke angitt>;1994-02743;N01AB06;Nei;01.05.2015;Markedsført;Markedsført
000961;;Genotropin;Pfizer Norge AS;Somatropin;Pulver og væske til injeksjonsvæske, oppløsning;5 mg;Tokammerampulle til penn;;5;5;mg;5952.41;7662.8;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;12-8979;H01AC01;Ja;01.08.2017;Markedsført;Markedsført
000985;;Atacand Plus;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;16 mg/12,5 mg;Kalenderpakning;;;98;stk;388.28;531.3;115.2;115.2;C;Rom (15-25 grader);001460;Nei;1999-02649;C09DA06;Ja;01.08.2018;Markedsført;Markedsført
001004;;Fragmin;Pfizer AS;Dalteparinnatrium;Injeksjonsvæske, oppløsning;12 500 IE anti-Xa/ml;Ferdigfylt sprøyte;;25;0.2;ml;452.64;613.4;0;613.4;C;Rom (15-25 grader);;<ikke angitt>;0000-07373;B01AB04;Ja;01.06.2018;Markedsført;Markedsført
001009;;Burinex;LEO Pharma;Bumetanid;Injeksjonsvæske, oppløsning;0,5 mg/ml;Ampulle;;5;4;ml;45.25;93.9;0;93.9;C;Rom (15-25 grader);;<ikke angitt>;0000-07221;C03CA02;Ja;01.08.2018;Markedsført;Markedsført
001018;;PegIntron;Merck Sharp & Dohme B.V. (1);Peginterferon alfa-2b;Pulver og væske til injeksjonsvæske, oppløsning;50 mikrog;sett;;;;;3134.02;4051.7;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/131/004;L03AB10;Ja;15.11.2018;Markedsført;Markedsført
001026;;Triatec;Sanofi-aventis Norge (3);Ramipril;Tablett;2,5 mg;Blisterpakning, endose;;;98;stk;58.14;110.4;110.4;110.4;C;Rom (15-25 grader);000222;Nei;0000-08066;C09AA05;Ja;15.05.2014;Markedsført;Kan prisbehandles
001029;;Fragmin;Pfizer AS;Dalteparinnatrium;Injeksjonsvæske, oppløsning;25 000 IE anti-Xa/ml;Ferdigfylt sprøyte;;25;0.2;ml;722.29;957.2;0;957.2;C;Rom (15-25 grader);;<ikke angitt>;0000-07374;B01AB04;Ja;01.06.2018;Markedsført;Markedsført
001078;;Puregon;Merck Sharp & Dohme B.V. (1);Follitropin beta;Injeksjonsvæske, oppløsning;300 IE/0,36ml;Sylinderampulle til bruk i penn;;1;0.36;ml;779.7;1035.2;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/96/008/038;G03GA06;Nei;01.11.2014;Markedsført;Markedsført
001092;;Puregon;Merck Sharp & Dohme B.V. (1);Follitropin beta;Injeksjonsvæske, oppløsning;600 IE/0,72ml;Sylinderampulle til bruk i penn;;1;0.72;ml;1523;1987.6;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/96/008/039;G03GA06;Nei;01.11.2014;Markedsført;Markedsført
001153;;Proscar;Farmagon;Finasterid;Tablett, filmdrasjert;5 mg;Blisterpakning;;;28;stk;73.88;130.4;130.4;130.4;C;Rom (15-25 grader);000333;Nei;1999-07844, 05-3405;G04CB01;Ja;01.11.2013;Markedsført;Markedsført
001162;;Zyprexa;Farmagon;Olanzapin;Tablett, drasjert;7,5 mg;Blisterpakning;;;56;stk;461.87;625.1;246.8;246.8;C;Rom (15-25 grader);000600;Nei;1999-07843;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
001194;;Celebra;Pfizer AS;Celekoksib;Kapsel, hard;200 mg;Blisterpakning;;;10;stk;63.04;116.6;0;116.6;C;Rom (15-25 grader);001583;Nei;02-1062;M01AH01;Ja;01.05.2014;Markedsført;Markedsført
001205;;Celebra;Pfizer AS;Celekoksib;Kapsel, hard;200 mg;Blisterpakning;;;30;stk;189.13;277.4;0;277.4;C;Rom (15-25 grader);001583;Nei;02-1062;M01AH01;Ja;01.05.2014;Markedsført;Markedsført
001336;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;20;stk;18.6;60;60;60;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001341;;Proscar;Farmagon;Finasterid;Tablett, filmdrasjert;5 mg;Blisterpakning;;;98;stk;258.56;365.9;365.9;365.9;C;Rom (15-25 grader);000333;Nei;05-3405, 1999-07844;G04CB01;Ja;01.11.2013;Markedsført;Markedsført
001349;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;30;stk;27.9;71.8;71.8;71.8;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001358;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;50;stk;28;72;72;72;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001371;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;60;stk;33.59;79.1;79.1;79.1;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001380;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;150 mg;Blisterpakning;;;90;stk;50.39;100.5;100.5;100.5;C;Rom (15-25 grader);000013;Nei;1998-06668;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001402;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;300 mg;Blisterpakning;;;30;stk;27.9;71.8;71.8;71.8;C;Rom (15-25 grader);000014;Nei;1998-06669;A02BA02;Ja;01.07.2011;Markedsført;Midlertidig utgått
001411;;Somac;Takeda AS;Pantoprazolnatriumsesquihydrat;Enterotablett;40 mg;Boks av plast;;;14;stk;18.28;59.6;59.6;59.6;C;Rom (15-25 grader);001420;Nei;0000-08141;A02BC02;Ja;01.04.2018;Markedsført;Markedsført
001413;;Ranitidin ratiopharm;ratiopharm GmbH;Ranitidinhydroklorid;Tablett, filmdrasjert;300 mg;Blisterpakning;;;90;stk;83.69;143;143;143;C;Rom (15-25 grader);000014;Nei;1998-06669;A02BA02;Ja;01.07.2011;Markedsført;Markedsført
001512;;Trental;Sanofi-aventis Norge (3);Pentoksyfyllin;Depottablett;400 mg;Blisterpakning;;;100;stk;145.38;221.6;0;221.6;C;Rom (15-25 grader);000153;Nei;0000-07199;C04AD03;Ja;15.12.2017;Markedsført;Markedsført
001524;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;4 000 IE;Ferdigfylt sprøyte;;1;0.3;ml;275.75;389.6;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/041;B03XA01;Nei;01.08.2010;Har MT;Kan prisbehandles
001588;;Kabiven;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Alanin, Arginin, Aspartinsyre, Fenylalanin, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Kalsiumkloriddihydrat, Natriumglyserofosfat, Magnesiumsulfatheptahydrat, Kaliumklorid, Valin, Natriumacetattrihydrat, Glukosemonohydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1026;ml;1019.43;1336;0;0;C;Rom (15-25 grader);;<ikke angitt>;1999-01181;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
001599;;Venofer;Vifor France;Jern(III)hydroksid/sukrosekompleks;Injeksjonsvæske, oppløsning/konsentrat til infusjonsvæske;20 mg/ml;Ampulle;;5;5;ml;477.94;645.6;0;0;C;Rom (15-25 grader);001723;Nei;1999-04553;B03AC;Nei;01.06.2018;Markedsført;Markedsført
001605;;Kabiven;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Alanin, Arginin, Aspartinsyre, Fenylalanin, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Kalsiumkloriddihydrat, Natriumglyserofosfat, Magnesiumsulfatheptahydrat, Kaliumklorid, Valin, Natriumacetattrihydrat, Glukosemonohydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1540;ml;1389.7;1808.1;0;0;C;Rom (15-25 grader);;<ikke angitt>;1999-01181;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
001829;;Dotarem;Guerbet;Gadotersyre;Injeksjonsvæske, oppløsning;279,3 mg/ml;Hetteglass;;;60;ml;2013.74;2603.8;0;0;C;Rom (15-25 grader);;<ikke angitt>;1995-02155;V08CA02;Nei;01.12.2018;Markedsført;Markedsført
001855;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;5 mg;Boks;;;100;stk;62.95;116.5;115.5;115.5;C;Rom (15-25 grader);000216;Nei;0000-07635;C09AA03;Ja;18.05.2011;Midlertidig utgått;Midlertidig utgått
001878;;Azopt;Novartis Europharm Limited (1);Brinzolamid;Øyedråper, suspensjon;10 mg/ml;Flaske av plast med dråpespiss;;3;5;ml;229.8;329.2;0;329.2;C;Rom (15-25 grader);000917;Nei;EU/1/00/129/003;S01EC04;Ja;01.12.2009;Markedsført;Markedsført
001888;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;10 mg;Blisterpakning;;;98;stk;61.69;114.9;114.9;114.9;C;Rom (15-25 grader);000217;Nei;0000-07636;C09AA03;Ja;15.06.2011;Markedsført;Markedsført
001894;;Trizivir;ViiV Healthcare BV;Abakavir, Lamivudin, Zidovudin;Tablett, filmdrasjert;300 mg/150 mg/300 mg;Boks;;;60;stk;4939.31;6333.9;0;0;C;Rom (15-25 grader);;<ikke angitt>;EU/1/00/156/003;J05AR04;Nei;01.01.2016;Midlertidig utgått;Midlertidig utgått
001905;;Lamictal;GlaxoSmithKline AS;Lamotrigin;Dispergerbar tablett;2 mg;Blisterpakning;;;30;stk;13.57;53.6;0;53.6;C;Rom (15-25 grader);001106;Ja;2000-02581;N03AX09;Ja;01.02.2019;Markedsført;Markedsført
001921;;Zestril;AstraZeneca;Lisinoprildihydrat;Tablett;20 mg;Blisterpakning;;;98;stk;123.38;193.6;193.6;193.6;C;Rom (15-25 grader);000218;Nei;0000-07637;C09AA03;Ja;15.06.2011;Markedsført;Markedsført
001962;;Capsina;Bioglan AB;Capsaicin;Krem;0,075 %;Tube;;;45;g;189.4;277.7;0;0;C;Rom (15-25 grader);;<ikke angitt>;1995-03589;N01BX04;Nei;09.06.2004;Markedsført;Markedsført
001980;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning;;;28;stk;62.66;116.1;59.1;59.1;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
001991;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning;;;56;stk;125.33;196;79.7;79.7;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002027;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Kalenderpakning;;;98;stk;388.28;531.3;115.2;115.2;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Markedsført
002033;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;40 mg;Blisterpakning;;;28;stk;99.35;162.9;68.8;68.8;C;Rom (15-25 grader);000032;Nei;2000-01995;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002038;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Blisterpakning, endose;;;98;stk;388.28;531.3;115.2;115.2;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Kan prisbehandles
002046;;Atacand Plus Mite;AstraZeneca;Kandesartancileksetil, Hydroklortiazid;Tablett;8 mg/12,5 mg;Boks av plast;;;100;stk;396.2;541.4;116.9;116.9;C;Rom (15-25 grader);001741;Nei;1998-02451;C09DA06;Ja;01.08.2018;Markedsført;Kan prisbehandles
002071;;Asacol;Tillotts Pharma AB (2);Mesalazin;Enterotablett;400 mg;Blisterpakning;;10;10;stk;280.46;393.8;0;393.8;C;Rom (15-25 grader);001318;Nei;0000-07603;A07EC02;Ja;01.04.2018;Markedsført;Markedsført
002169;;Kabiven Perifer;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Glukosemonohydrat, Alanin, Arginin, Aspartinsyre, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Fenylalanin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Valin, Kalsiumklorid, Natriumglyserofosfat, Kaliumklorid, Natriumacetattrihydrat, Magnesiumsulfatheptahydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose (Excel);;2;2400;ml;871.2;1147;0;0;C;Rom (15-25 grader);;<ikke angitt>;2000-02053;B05BA10;Nei;01.08.2011;Markedsført;Avregistrert
002180;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;20 mg;Blisterpakning, endose;;50;1;stk;111.9;178.9;75.1;75.1;C;Rom (15-25 grader);000031;Nei;2000-01994;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002182;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;500 IE;Hetteglass;;;;;2784.94;3604.5;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/002;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002186;;Kabiven Perifer;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Glukosemonohydrat, Alanin, Arginin, Aspartinsyre, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Fenylalanin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Valin, Kalsiumklorid, Natriumglyserofosfat, Kaliumklorid, Natriumacetattrihydrat, Magnesiumsulfatheptahydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose (Excel);;2;1920;ml;763.78;1010.1;0;0;C;Rom (15-25 grader);;<ikke angitt>;2000-02053;B05BA10;Nei;01.08.2011;Markedsført;Avregistrert
002193;;Zidoval;Meda - Asker;Metronidazol;Vaginalgel;7,5 mg/g;Tube;;;40;g;85;144.6;0;0;C;Rom (15-25 grader);;<ikke angitt>;00-1709;G01AF01;Nei;22.06.2001;Markedsført;Markedsført
002194;;Kabiven Perifer;Fresenius Kabi Norge AS - Halden;Soyaolje, renset, Glukosemonohydrat, Alanin, Arginin, Aspartinsyre, Glutaminsyre, Glysin, Histidin, Isoleucin, Leucin, Lysinhydroklorid, Metionin, Fenylalanin, Prolin, Serin, Treonin, Tryptofan, Tyrosin, Valin, Kalsiumklorid, Natriumglyserofosfat, Kaliumklorid, Natriumacetattrihydrat, Magnesiumsulfatheptahydrat;Infusjonsvæske, emulsjon;(ikke angitt);Trekammerpose med overpose;;4;1440;ml;1219.97;1591.7;0;0;C;Rom (15-25 grader);;<ikke angitt>;2000-02053;B05BA10;Nei;01.08.2011;Markedsført;Markedsført
002205;;Nexium;AstraZeneca;Esomeprazolmagnesiumtrihydrat;Enterotablett;40 mg;Blisterpakning, endose;;50;1;stk;177.42;262.5;94.3;94.3;C;Rom (15-25 grader);000032;Nei;2000-01995;A02BC05;Ja;01.04.2018;Markedsført;Markedsført
002210;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;1000 IE;Hetteglass;;;;;5535.22;7128.3;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/003;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002227;;Kogenate Bayer;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;250 IE;Hetteglass;;;;;1408.58;1841;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/143/001;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002294;;Singulair;Merck Sharp & Dohme B.V.;Montelukastnatrium;Tyggetablett;4 mg;Kalenderpakning;;;28;stk;104.48;169.5;94.4;94.4;C;Rom (15-25 grader);001750;Nei;2000-06225;R03DC03;Ja;01.07.2018;Markedsført;Markedsført
002328;;Singulair;Merck Sharp & Dohme B.V.;Montelukastnatrium;Tyggetablett;4 mg;Kalenderpakning;;;98;stk;365.68;502.5;239.7;239.7;C;Rom (15-25 grader);001750;Nei;2000-06225;R03DC03;Ja;01.07.2018;Markedsført;Markedsført
002367;;Helixate NexGen;Bayer AG;Koagulasjonsfaktor VIII (rekombinant);Pulver og væske til injeksjonsvæske, oppløsning;250 IE;Hetteglass;;;;;1328.88;1738.9;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/00/144/001;B02BD02;Nei;01.05.2017;Midlertidig utgått;Midlertidig utgått
002422;;Tetralysal;Galderma Nordic AB;Lymesyklin;Kapsel, hard;300 mg;Blisterpakning;;;20;stk;56.65;108.5;86.4;86.4;C;Rom (15-25 grader);001882;Nei;0000-05494;J01AA04;Ja;01.10.2009;Markedsført;Midlertidig utgått
002481;;Levaxin;Takeda AS;Levotyroksinnatrium;Tablett;25 mikrog;Boks av plast;;;100;stk;34.4;80.1;0;80.1;C;Rom (15-25 grader);000865;Ja;1999-06020;H03AA01;Ja;01.12.2018;Markedsført;Markedsført
002490;;Septocaine;Septodont;Artikainhydroklorid, Adrenalintartrat;Injeksjonsvæske, oppløsning;40 mg/ml/5 mikrog/ml;Sylindretter av glass;;50;1.7;ml;240;342.3;0;0;C;Rom (15-25 grader);;<ikke angitt>;1997-05253;N01BB58;Nei;23.01.2017;Markedsført;Markedsført
002518;;Septocaine Forte;Septodont;Artikainhydroklorid, Adrenalintartrat;Injeksjonsvæske, oppløsning;40 mg/ml/10 mikrog/ml;Sylindretter av glass;;50;1.7;ml;240;342.3;0;0;C;Rom (15-25 grader);;<ikke angitt>;1997-05254;N01BB58;Nei;23.01.2017;Markedsført;Markedsført
002559;;Detrusitol SR;Pfizer AS;Tolterodintartrat;Depotkapsel, hard;4 mg;Blisterpakning;;;28;stk;161.36;242;0;242;C;Rom (15-25 grader);001899;Nei;2001-03747;G04BD07;Ja;01.08.2015;Markedsført;Midlertidig utgått
002563;;Detrusitol SR;Pfizer AS;Tolterodintartrat;Depotkapsel, hard;4 mg;Blisterpakning;;;84;stk;484.08;653.5;0;653.5;C;Rom (15-25 grader);001899;Nei;2001-03747;G04BD07;Ja;01.08.2015;Markedsført;Markedsført
