Regnr;Artikelnaam;Maximumprijs;Eenheid
108846;ABSTRAL TABLET SUBLINGUAAL 400MCG;6,966819;STUK
114778//108846;ABSTRAL TABLET SUBLINGUAAL 400MCG;6,966819;STUK
122158//108846;ABSTRAL TABLET SUBLINGUAAL 400MCG;6,966819;STUK
108847;ABSTRAL TABLET SUBLINGUAAL 600MCG;7,072694;STUK
108848;ABSTRAL TABLET SUBLINGUAAL 800MCG;6,964478;STUK
EU/1/14/946/001;ACCOFIL 30 INJVLST 60MILJ E/ML WWSP 0,5ML;134,792157;ML
EU/1/14/946/003;ACCOFIL 48 INJVLST 96MILJ E/ML WWSP 0,5ML;212,069549;ML
24096=;14225 ACEBUTOLOL SANDOZ TABLET 200MG;0,115986;STUK
24097=;14226 ACEBUTOLOL SANDOZ TABLET 400MG;0,349210;STUK
14225;ACEBUTOLOL TEVA TABLET 200MG;0,115986;STUK
14226;ACEBUTOLOL TEVA TABLET 400MG;0,349210;STUK
114793;ACECLOFENAC DOUBLE‐E PHARMA TABLET FILMOMH 100MG;0,161601;STUK
50674;ACENOCOUMAROL CF TABLET 1MG;0,053126;STUK
4464;ACENOCOUMAROL SANDOZ TABLET 1MG;0,053126;STUK
4464;ACENOCOUMAROL SANDOZ TABLET 1MG POT;0,053126;STUK
113318;ACENOCOUMAROL TEVA TABLET 1MG;0,053126;STUK
113318;ACENOCOUMAROL TEVA TABLET 1MG POT;0,053126;STUK
9291;ACETAZOLAMIDE SANDOZ TABLET 250MG;0,256348;STUK
18843;ACICLOVIR CF TABLET 200MG;0,196316;STUK
18844;ACICLOVIR CF TABLET 400MG;0,170229;STUK
18845;ACICLOVIR CF TABLET 800MG;0,426786;STUK
110589;ACICLOVIR CLARIS INFVLST CONC 25MG/ML FL 10ML;0,604383;ML
110589;ACICLOVIR CLARIS INFVLST CONC 25MG/ML FL 20ML;0,604383;ML
23412;ACICLOVIR HOSPIRA INFVLST CONC 25MG/ML FL 10ML;0,604383;ML
23412;ACICLOVIR HOSPIRA INFVLST CONC 25MG/ML FL 20ML;0,604383;ML
19803;ACICLOVIR SANDOZ TABLET 200MG;0,196316;STUK
19804;ACICLOVIR SANDOZ TABLET 400MG;0,170229;STUK
19805;ACICLOVIR SANDOZ TABLET 800MG;0,426786;STUK
22477;ACICLOVIR TEVA OOGZALF 30MG/G TUBE 4,5G;2,116706;G
8155;ACID A VIT CREME 0,5MG/G;0,176500;G
EU/1/05/308/001;ACLASTA INFUSIEVLOEISTOF 0,05MG/ML FLACON 100ML;2,749100;ML
12247;ACTILYSE INFUSIEPOEDER FLACON 20MG + SOLVENS 20ML;258,984196;STUK
117014//12248;ACTILYSE INFUSIEPOEDER FLACON 50MG + SOLVENS 50ML;516,430327;STUK
117015//12248;ACTILYSE INFUSIEPOEDER FLACON 50MG + SOLVENS 50ML;516,430327;STUK
12248;ACTILYSE INFUSIEPOEDER FLACON 50MG + SOLVENS 50ML;516,430327;STUK
115504//26571;ACTIQ ZUIGTABLET 200MCG;7,047602;STUK
121643//26571;ACTIQ ZUIGTABLET 200MCG;7,047602;STUK
26571;ACTIQ ZUIGTABLET 200MCG;7,047602;STUK
115505//26572;ACTIQ ZUIGTABLET 400MCG;6,966819;STUK
121641//26572;ACTIQ ZUIGTABLET 400MCG;6,966819;STUK
26572;ACTIQ ZUIGTABLET 400MCG;6,966819;STUK
115506//26573;ACTIQ ZUIGTABLET 600MCG;7,072694;STUK
121640//26573;ACTIQ ZUIGTABLET 600MCG;7,072694;STUK
26573;ACTIQ ZUIGTABLET 600MCG;7,072694;STUK
115507//26574;ACTIQ ZUIGTABLET 800MCG;6,964478;STUK
121638//26574;ACTIQ ZUIGTABLET 800MCG;6,964478;STUK
26574;ACTIQ ZUIGTABLET 800MCG;6,964478;STUK
110386//22819;ACTIVELLE TABLET OMHULD;0,281107;STUK
114612//22819;ACTIVELLE TABLET OMHULD;0,281107;STUK
117326//22819;ACTIVELLE TABLET OMHULD;0,281107;STUK
22819;ACTIVELLE TABLET OMHULD;0,281107;STUK
25801;ACTONEL TABLET FILMOMHULD 5MG;0,520798;STUK
24990;ACTONEL TABLET FILMOMHULD 30MG;5,227095;STUK
34632;ACTONEL TABLET FILMOMHULD 75MG;5,716885;STUK
28338;ACTONEL WEKELIJKS TABLET FILMOMHULD 35MG;2,332851;STUK
EU/1/00/150/004;ACTOS TABLET 30MG;0,809298;STUK
EU/1/00/150/020;ACTOS TABLET 30MG;0,809298;STUK
EU/1/00/150/012;ACTOS TABLET 45MG;0,998274;STUK
EU/1/02/229/024;ACTRAPHANE 30 NOVOLET INJSUSP 100IE/ML PEN 3ML;2,028331;ML
EU/1/02/229/012;ACTRAPHANE 30 PENFILL INJSUSP 100IE/ML PATROON 3ML;1,777784;ML
EU/1/02/229/018;ACTRAPHANE 50 PENFILL INJSUSP 100IE/ML PATROON 3ML;1,830522;ML
EU/1/02/230/003;ACTRAPID INJ 100IE/ML FLACON 10ML;2,392731;ML
EU/1/02/230/008;ACTRAPID NOVOLET INJ 100IE/ML PEN 3ML;1,922562;ML
EU/1/02/230/006;ACTRAPID PENFILL INJ 100IE/ML PATR 3ML;1,750519;ML
121462//13381;ACULAR OOGDRUPPELS 5MG/ML FLACON 5ML;0,864537;ML
13381;ACULAR OOGDRUPPELS 5MG/ML FLACON 5ML;0,864537;ML
24663//13381;ACULAR OOGDRUPPELS 5MG/ML FLACON 5ML;0,864537;ML
15835;ACUZIDE TABLET 20/12,5MG;0,129866;STUK
117358//14794;ADALAT OROS TABLET MGA 30MG;0,210229;STUK
118215//14794;ADALAT OROS TABLET MGA 30MG;0,210229;STUK
119044//14794;ADALAT OROS TABLET MGA 30MG;0,210229;STUK
14794;ADALAT OROS TABLET MGA 30MG;0,210229;STUK
119046//14794;ADALAT OROS TABLET MGA 60MG;0,353288;STUK
119359//14795;ADALAT OROS TABLET MGA 60MG;0,353288;STUK
14795;ADALAT OROS TABLET MGA 60MG;0,353288;STUK
31670;ADARTREL STARTVERPAKKING TABLET FILMOMHULD 0,25MG;0,266624;STUK
31673;ADARTREL TABLET FILMOMHULD 2MG;0,701155;STUK
EU/1/12/794/001;ADCETRIS INFUSIEPOEDER FLACON 50MG;3335,634514;STUK
16617;ADENOCOR INJVLST 3MG/ML FLACON 2ML;1,703788;ML
EU/1/08/447/001;ADENURIC TABLET FILMOMHULD 80MG;0,945500;STUK
EU/1/08/447/014;ADENURIC TABLET FILMOMHULD 80MG;0,945500;STUK
EU/1/08/447/003;ADENURIC TABLET FILMOMHULD 120MG;0,974348;STUK
102092;ADPORT CAPSULE 0,5MG;1,172736;STUK
102094;ADPORT CAPSULE 1MG;1,775635;STUK
102095;ADPORT CAPSULE 5MG;7,848765;STUK
EU/1/06/364/002;ADROVANCE TABLET 70MG/2800IE;3,401194;STUK
EU/1/06/364/007;ADROVANCE TABLET 70MG/5600IE;1,660496;STUK
EU/1/07/387/001;ADVAGRAF CAPSULE MVA 0,5MG;1,181282;STUK
EU/1/07/387/002;ADVAGRAF CAPSULE MVA 0,5MG;1,181282;STUK
EU/1/07/387/014;ADVAGRAF CAPSULE MVA 0,5MG;1,181282;STUK
EU/1/07/387/015;ADVAGRAF CAPSULE MVA 0,5MG;1,181282;STUK
EU/1/07/387/016;ADVAGRAF CAPSULE MVA 0,5MG;1,181282;STUK
EU/1/07/387/003;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/004;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/005;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/017;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/018;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/019;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/020;ADVAGRAF CAPSULE MVA 1MG;1,824720;STUK
EU/1/07/387/011;ADVAGRAF CAPSULE MVA 3MG;5,814246;STUK
EU/1/07/387/012;ADVAGRAF CAPSULE MVA 3MG;5,814246;STUK
EU/1/07/387/021;ADVAGRAF CAPSULE MVA 3MG;5,814246;STUK
EU/1/07/387/022;ADVAGRAF CAPSULE MVA 3MG;5,814246;STUK
EU/1/07/387/023;ADVAGRAF CAPSULE MVA 3MG;5,814246;STUK
EU/1/07/387/007;ADVAGRAF CAPSULE MVA 5MG;8,161236;STUK
EU/1/07/387/008;ADVAGRAF CAPSULE MVA 5MG;8,161236;STUK
EU/1/07/387/024;ADVAGRAF CAPSULE MVA 5MG;8,161236;STUK
EU/1/07/387/025;ADVAGRAF CAPSULE MVA 5MG;8,161236;STUK
EU/1/07/387/026;ADVAGRAF CAPSULE MVA 5MG;8,161236;STUK
EU/1/00/160/063;AERIUS DRANK 0,5MG/ML;0,049963;ML
EU/1/00/160/066;AERIUS DRANK 0,5MG/ML;0,049963;ML
EU/1/00/160/044;AERIUS ORODISPERGEERBARE TABLET 2,5MG;0,231884;STUK
EU/1/00/160/056;AERIUS ORODISPERGEERBARE TABLET 5MG;0,296362;STUK
EU/1/00/160/018;AERIUS SIROOP 0,5MG/ML;0,049963;ML
EU/1/00/160/019;AERIUS SIROOP 0,5MG/ML;0,049963;ML
EU/1/00/160/008;AERIUS TABLET FILMOMHULD 5MG;0,179974;STUK
EU/1/00/160/009;AERIUS TABLET FILMOMHULD 5MG;0,179974;STUK
EU/1/00/160/011;AERIUS TABLET FILMOMHULD 5MG;0,179974;STUK
EU/1/16/1122/001;AERIVIO SPIROMAX INHPDR 50/500MCG 60DO;0,576425;DOSIS
111682;AFFUSINE CREME 20MG/G;0,229018;G
EU/1/09/538/009;AFINITOR TABLET 2,5MG;40,544339;STUK
EU/1/09/538/001;AFINITOR TABLET 5MG;72,780449;STUK
EU/1/09/538/004;AFINITOR TABLET 10MG;95,345388;STUK
23381;AGGRASTAT INFVLST 0,05MG/ML ZAK 250ML;0,719781;ML
121107;AGOMELATINE GLENMARK TABLET FILMOMHULD 25MG;1,019372;STUK
116003;AIRFLUSAL FORSPIRO INHALPDR 50/500MCG/DO 60DO;0,576425;DOSIS
123679//116003;AIRFLUSAL FORSPIRO INHALPDR 50/500MCG/DO 60DO;0,576425;DOSIS
124050//116003;AIRFLUSAL FORSPIRO INHALPDR 50/500MCG/DO 60DO;0,576425;DOSIS
18353;AIROMIR 100 AEROSOL 100MCG/DO SPBS 200DO+INHALATOR;0,016182;DOSIS
22393;AIROMIR AUTOHALER AEROSOL 100MCG/DO SPBS 200DO;0,043023;DOSIS
2196;AKINETON TABLET 2MG;0,050505;STUK
26450//2196;AKINETON TABLET 2MG;0,050505;STUK
113539;ALACARE PLEISTER 8MG;36,951402;STUK
EU/1/98/080/001;ALDARA CREME 50MG/G IN SACHET;18,519147;G
EU/1/03/253/001;ALDURAZYME INFVLST CONC 100U/ML FLACON 5ML;128,937242;ML
EU/1/16/1169/001;ALECENSA CAPSULE 150MG;24,556586;STUK
EU/1/16/1169/002;ALECENSA CAPSULE 150MG;24,556586;STUK
100473;ALENDRONINEZUUR ACCORD TABLET 10MG;0,295186;STUK
30270;ALENDRONINEZUUR MYLAN TABLET 70MG;1,920369;STUK
31768;ALENDRONINEZUUR PCH TABLET 10MG;0,295186;STUK
32960;ALENDRONINEZUUR PCH TABLET 70MG;1,920369;STUK
117983;ALENDRONINEZUUR/CHOLECALCIFEROL AUR TB 70MG/2800IE;3,401194;STUK
117985;ALENDRONINEZUUR/CHOLECALCIFEROL AUR TB 70MG/5600IE;1,660496;STUK
117968;ALENDRONINEZUUR/CHOLECALCIFEROL SDZ TB 70MG/5600IE;1,660496;STUK
113274;ALENDRONINEZUUR/CHOLECALCIFEROL TEVA T 70MG/2800IE;3,401194;STUK
113276;ALENDRONINEZUUR/CHOLECALCIFEROL TEVA T 70MG/5600IE;1,660496;STUK
123105//7603;ALFACALCIDOL FISHER CAPSULE 1MCG;0,471170;STUK
10890;ALFACALCIDOL TEVA CAPSULE 0,25MCG;0,164738;STUK
10891;ALFACALCIDOL TEVA CAPSULE 1MCG;0,471170;STUK
31128;ALFUZOSINE HCL CF TABLET MVA 10MG;0,444298;STUK
33407;ALFUZOSINE HCL MYLAN RETARD TABLET MVA 10MG;0,444298;STUK
31635;ALFUZOSINE HCL PCH TABLET 2,5MG;0,291858;STUK
33134;ALFUZOSINE HCL SANDOZ RETARD TABLET MVA 10MG;0,444298;STUK
102424;ALFUZOSINE HCL TEVA RETARD TABLET MVA 10MG;0,444298;STUK
EU/1/04/290/002;ALIMTA INFUSIEPOEDER FLACON 100MG;276,027652;STUK
EU/1/04/290/001;ALIMTA INFUSIEPOEDER FLACON 500MG;1333,305667;STUK
6690;ALKERAN INFUSIEPOEDER FLACON 50MG + SOLVENS 10ML;144,841580;STUK
4473;ALKERAN TABLET FILMOMHULD 2MG;2,369788;STUK
113043//17886;ALLERGODIL NEVEL NEUSSPRAY 1MG/ML;0,630966;ML
17886;ALLERGODIL NEVEL NEUSSPRAY 1MG/ML;0,630966;ML
22946;ALLERGODIL OOGDRUPPELS 0,5MG/ML FLACON 6ML;0,961307;ML
52185;ALLOPURINOL APOTEX TABLET 100MG;0,054234;STUK
57732;ALLOPURINOL APOTEX TABLET 300MG;0,098126;STUK
20406;ALLOPURINOL AUROBINDO TABLET 100MG;0,054234;STUK
20407;ALLOPURINOL AUROBINDO TABLET 300MG;0,098126;STUK
28893=;52185 ALLOPURINOL MYLAN TABLET 100MG;0,054234;STUK
28894=;57732 ALLOPURINOL MYLAN TABLET 300MG;0,098126;STUK
104252;ALLOPURINOL PCH TABLET 100MG;0,054234;STUK
104257;ALLOPURINOL PCH TABLET 300MG;0,098126;STUK
6846;ALLOPURINOL SANDOZ TABLET 100MG;0,054234;STUK
7210;ALLOPURINOL SANDOZ TABLET 300MG;0,098126;STUK
123675//25415;ALMOGRAN TABLET OMHULD 12,5MG;2,655082;STUK
25415;ALMOGRAN TABLET OMHULD 12,5MG;2,655082;STUK
111429;ALMOTRIPTAN SANDOZ TABLET FILMOMHULD 12,5MG;2,655082;STUK
EU/1/04/306/001;ALOXI INJVLST 50MCG/ML FLACON 5ML;10,007829;ML
21754;ALPHAGAN OOGDRUPPELS 2MG/ML FLACON 5ML;1,245093;ML
21619;ALPRAZOLAM AUROBINDO TABLET 0,25MG;0,061798;STUK
21620;ALPRAZOLAM AUROBINDO TABLET 0,5MG;0,103099;STUK
31119;ALPRAZOLAM CF TABLET 0,25MG;0,061798;STUK
31120;ALPRAZOLAM CF TABLET 0,5MG;0,103099;STUK
20953;ALPRAZOLAM MYLAN TABLET 0,25MG;0,061798;STUK
20954;ALPRAZOLAM MYLAN TABLET 0,5MG;0,103099;STUK
21819;ALPRAZOLAM PCH TABLET 0,25MG;0,061798;STUK
21820;ALPRAZOLAM PCH TABLET 0,5MG;0,103099;STUK
105250;ALTRIABAK OOGDRUPPELS 0,25MG/ML FLACON 5ML;1,576715;ML
122878//105250;ALTRIABAK OOGDRUPPELS 0,25MG/ML FLACON 5ML;1,576715;ML
110807//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 60DO + INH;0,294206;DOSIS
111721//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 60DO + INH;0,294206;DOSIS
123228//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 60DO + INH;0,294206;DOSIS
117352//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 120DO + INH;0,294206;DOSIS
121549//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 120DO + INH;0,294206;DOSIS
122025//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 120DO + INH;0,294206;DOSIS
123228//31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 120DO + INH;0,294206;DOSIS
31632;ALVESCO 80 AEROSOL 80MCG/DO SPBS 120DO + INH;0,294206;DOSIS
108053//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
108738//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
109558//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
111366//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
112318//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
113037//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
113866//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
117518//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
119131//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
121142//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
121172//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
121379//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
121382//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 60DO + INH;0,376155;DOSIS
108053//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 120DO + INH;0,376155;DOSIS
121172//31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 120DO + INH;0,376155;DOSIS
31633;ALVESCO 160 AEROSOL 160MCG/DO SPBS 120DO + INH;0,376155;DOSIS
17843;AMARYL TABLET 1MG;0,088686;STUK
17844;AMARYL TABLET 2MG;0,117924;STUK
17845;AMARYL TABLET 3MG;0,175421;STUK
17846;AMARYL TABLET 4MG;0,202871;STUK
15610;AMBISOME INFUSIEPOEDER FLACON 50MG;134,377379;STUK
EU/1/16/1164/001;AMGEVITA 20 INJVLST 50MG/ML WWSP 0,4ML;451,088978;ML
EU/1/16/1164/003;AMGEVITA 40 INJVLST 50MG/ML WWSP 0,8ML;451,088978;ML
EU/1/16/1164/007;AMGEVITA SURECLICK 40 INJVLST 50MG/ML PEN 0,8ML;451,088978;ML
11128;AMILORIDE COMP CF TABLET 5/50MG;0,058980;STUK
57555;AMILORIDE HCL/HYDROCHLOORTHIAZIDE ACCORD TB 5/50MG;0,058980;STUK
25714=;11128 AMILORIDE HCL/HYDROCHLOORTHIAZIDE AUR TABL 5/50MG;0,058980;STUK
11095;AMILORIDE HCL/HYDROCHLOORTHIAZIDE MYLAN TAB 5/50MG;0,058980;STUK
11802;AMILORIDE HCL/HYDROCHLOORTHIAZIDE PCH TABL 5/50MG;0,058980;STUK
57528;AMILORIDE HCL/HYDROCHLOORTHIAZIDE SDZ TABL 5/50MG;0,058980;STUK
11802;AMILORIDE HCL/HYDROCHLOORTHIAZIDE TEVA TABL 5/50MG;0,058980;STUK
24101=;57505 AMIODARON HCL MYLAN TABLET 200MG;0,244594;STUK
21966;AMIODARON HCL SANDOZ TABLET 200MG;0,244594;STUK
57505;AMIODARON HCL TEVA TABLET 200MG;0,244594;STUK
107084;AMITRIPTYLINE BB TABLET FILMOMHULD 10MG;0,041560;STUK
107092;AMITRIPTYLINE BB TABLET FILMOMHULD 25MG;0,055749;STUK
117611;AMITRIPTYLINE EXPHARMA TABLET FILMOMHULD 25MG;0,055749;STUK
52186;AMITRIPTYLINE HCL APOTEX TABLET 10MG;0,041560;STUK
52187;AMITRIPTYLINE HCL APOTEX TABLET 25MG;0,055749;STUK
52947;AMITRIPTYLINE HCL CF TABLET 10MG;0,041560;STUK
52948;AMITRIPTYLINE HCL CF TABLET 25MG;0,055749;STUK
110148;AMITRIPTYLINE HCL TEVA TABLET 10MG;0,041560;STUK
110150;AMITRIPTYLINE HCL TEVA TABLET 25MG;0,055749;STUK
30075;AMLODIPINE AUROBINDO TABLET 5MG;0,088613;STUK
30076;AMLODIPINE AUROBINDO TABLET 10MG;0,134743;STUK
101557;AMLODIPINE PCH TABLET 5MG (ALS BESILAAT);0,088613;STUK
101560;AMLODIPINE PCH TABLET 10MG (ALS BESILAAT);0,134743;STUK
34063;AMLODIPINE SANDOZ TABLET 5MG (ALS BESILAAT);0,088613;STUK
34065;AMLODIPINE SANDOZ TABLET 10MG (ALS BESILAAT);0,134743;STUK
116945;AMLODIPINE/VALSARTAN SANDOZ TABL FILMOMH 5/ 80MG;0,647730;STUK
116948;AMLODIPINE/VALSARTAN SANDOZ TABL FILMOMH 5/160MG;0,809656;STUK
116949;AMLODIPINE/VALSARTAN SANDOZ TABL FILMOMH 10/160MG;0,836061;STUK
EU/1/99/120/003;AMMONAPS GRANULAAT 940MG/G;5,085758;G
EU/1/99/120/001;AMMONAPS TABLET 500MG;3,002341;STUK
27999;AMOXI/CLAV PCH INFPDR FLACON 2000/200MG;4,953667;STUK
29420;AMOXI/CLAV PCH INJPDR FLACON 500/ 50MG;0,907000;STUK
27998;AMOXI/CLAV PCH INJPDR FLACON 1000/200MG;3,081004;STUK
28026;AMOXI/CLAV SANDOZ INFPDR FLACON 2000/200MG;4,953667;STUK
29725;AMOXI/CLAV SANDOZ INJPDR FLACON 500/ 50MG;0,907000;STUK
29678;AMOXI/CLAV SANDOZ INJPDR FLACON 500/100MG;1,983282;STUK
28025;AMOXI/CLAV SANDOZ INJPDR FLACON 1000/200MG;3,081004;STUK
24337=;21691 AMOXI/CLAV TEVA PDR V SUSP 125/31,25MG/5ML;0,043314;ML
16913;AMOXICILLINE APOTEX CAPSULE 500MG;0,138138;STUK
106885;AMOXICILLINE AUROBINDO INJPDR FLACON 1000MG;1,397570;STUK
57326;AMOXICILLINE CF INJECTIEPOEDER FLACON 1000MG;1,397570;STUK
122774;AMOXICILLINE DISP TEVA TABLET 1000MG;0,318750;STUK
26686;AMOXICILLINE DISPER SANDOZ TABLET 1000MG;0,318750;STUK
11217;AMOXICILLINE MYLAN CAPSULE 500MG;0,138138;STUK
25942;AMOXICILLINE SANDOZ CAPSULE 500MG;0,138138;STUK
29702;AMOXICILLINE SANDOZ POEDER V SUSPENSIE 125MG/5ML;0,031114;ML
29703;AMOXICILLINE SANDOZ POEDER V SUSPENSIE 250MG/5ML;0,033648;ML
14459;AMOXICILLINE TEVA CAPSULE 500MG;0,138138;STUK
121962;AMOXICILLINE TEVA FORTE PDR V SUSP 250MG/5ML;0,033648;ML
121961;AMOXICILLINE TEVA POEDER VOOR SUSPENSIE 125MG/5ML;0,031114;ML
9084;AMSIDINE INFVLST CONC 50MG/ML FL 1,5ML+SOLV 13,5ML;147,464093;ML
120302;ANAGRELIDE ACCORD CAPSULE 0,5MG;2,763365;STUK
120312;ANAGRELIDE GLENMARK CAPSULE 0,5MG;2,763365;STUK
120313;ANAGRELIDE SANDOZ CAPSULE 0,5MG;2,763365;STUK
120307;ANAGRELIDE TEVA CAPSULE 0,5MG;2,763365;STUK
34003;ANASTROZOL SYNTHON TABLET FILMOMHULD 1MG;0,811758;STUK
102579//6170;ANATENSOL DECANOAAT INJVLST 25MG/ML AMPUL 1,0ML;4,945540;ML
106278//6170;ANATENSOL DECANOAAT INJVLST 25MG/ML AMPUL 1,0ML;4,945540;ML
8533;ANCOTIL INFUSIEVLOEISTOF 10MG/ML FLAC 250ML + SYST;0,183965;ML
25497//7531;ANDRIOL CAPSULE 40MG;0,359814;STUK
123259//7531;ANDRIOL TESTOCAPS CAPSULE 40MG;0,359814;STUK
7531;ANDRIOL TESTOCAPS CAPSULE 40MG;0,359814;STUK
109335//9078;ANDROCUR TABLET 10MG;0,369467;STUK
9078;ANDROCUR TABLET 10MG;0,369467;STUK
6540;ANDROCUR TABLET 50MG;0,537524;STUK
115746;ANDROGEL GEL 16,2MG/G IN DOSEERPOMP;0,507291;G
27740;ANDROGEL GEL 25MG IN SACHET;0,293836;G
27741;ANDROGEL GEL 50MG IN SACHET;0,293836;G
27505;ANGELIQ TABLET FILMOMHULD;0,487647;STUK
EU/1/04/289/001;ANGIOX INJECTIEPOEDER FLACON 250MG;276,915927;STUK
120603;ANIDULAFUNGINE TEVA INFPDR FLACON 100MG;312,774975;STUK
EU/1/14/898/002;ANORO ELLIPTA INHPDR 55/22MCG 30DO;1,458419;DOSIS
EU/1/04/285/008;APIDRA INJ 100E/ML PATROON 3ML;2,227191;ML
EU/1/04/285/016;APIDRA OPTISET INJ 100E/ML PEN 3ML;2,336572;ML
EU/1/04/285/030;APIDRA SOLOSTAR INJ 100E/ML PEN 3ML;2,336572;ML
EU/1/04/285/032;APIDRA SOLOSTAR INJ 100E/ML PEN 3ML;2,336572;ML
109039;APO‐GO INF/INJVLST 10MG/ML AMPUL 5ML;4,153473;ML
114112//35295;APO‐GO INFVLST 5MG/ML WWSP 10ML;1,970017;ML
117327//35295;APO‐GO INFVLST 5MG/ML WWSP 10ML;1,970017;ML
35295;APO‐GO INFVLST 5MG/ML WWSP 10ML;1,970017;ML
112181;APOMORFINE HCL PHARMSWED INFVLST 5MG/ML FLAC 20ML;1,963335;ML
109659;APROKAM INJECTIEPOEDER FLACON 50MG;7,343764;STUK
EU/1/97/046/004;APROVEL TABLET 150MG;0,225519;STUK
EU/1/97/046/007;APROVEL TABLET 300MG;0,257613;STUK
EU/1/97/046/017;APROVEL TABLET FILMOMHULD 75MG;0,261142;STUK
EU/1/97/046/022;APROVEL TABLET FILMOMHULD 150MG;0,225519;STUK
EU/1/97/046/035;APROVEL TABLET FILMOMHULD 150MG;0,225519;STUK
EU/1/97/046/038;APROVEL TABLET FILMOMHULD 150MG;0,225519;STUK
EU/1/97/046/027;APROVEL TABLET FILMOMHULD 300MG;0,257613;STUK
EU/1/97/046/036;APROVEL TABLET FILMOMHULD 300MG;0,257613;STUK
